SampleID	JobID	WallTime	MemUsed	State	Log
BMT168D18	11122626	00:17:48	18.72 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT168D18.11122626.log
BMT168PRE	11122630	00:18:40	34.85 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT168PRE.11122630.log
BMT169D7	11122634	00:21:05	31.67 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT169D7.11122634.log
BMT169PRE	11122638	00:19:59	28.98 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT169PRE.11122638.log
BMT170D135	11122642	00:36:58	30.42 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT170D135.11122642.log
BMT170D2	11122650	00:21:07	31.21 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT170D2.11122650.log
BMT170D27	11122646	00:12:00	24.23 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT170D27.11122646.log
BMT170D55	11122654	00:19:02	25.92 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT170D55.11122654.log
BMT170PRE	11122658	00:19:04	26.02 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT170PRE.11122658.log
BMT171D0	11122662	00:22:09	30.25 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT171D0.11122662.log
BMT171D23	11122666	00:24:43	17.89 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT171D23.11122666.log
BMT171PRE	11122670	00:37:14	15.45 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT171PRE.11122670.log
BMT173D2	11122674	00:28:49	31.52 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT173D2.11122674.log
BMT173D37	11132678	00:30:53	9.29 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT173D37.11132678.log
BMT173D69	11132682	00:33:13	10.67 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT173D69.11132682.log
BMT173PRE	11132686	00:22:50	8.42 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT173PRE.11132686.log
BMT174D61	11132690	00:21:56	32.99 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT174D61.11132690.log
BMT174D7	11132694	00:23:24	8.43 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT174D7.11132694.log
BMT174PRE	11139803	00:01:20	799.80 MB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT174PRE.11139803.log
BMT180D0	11132698	00:27:06	9.44 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT180D0.11132698.log
BMT180D-6	11132702	00:25:36	38.74 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT180D-6.11132702.log
BMT181D3	11132706	00:16:33	31.72 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT181D3.11132706.log
BMT181PRE	11132710	00:30:13	37.83 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT181PRE.11132710.log
BMT182D-12	11132714	00:42:53	19.43 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT182D-12.11132714.log
BMT182D-13	11132718	00:30:33	46.33 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT182D-13.11132718.log
BMT183D5	11132722	00:22:49	29.71 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT183D5.11132722.log
BMT183D7	11132726	00:26:47	39.34 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT183D7.11132726.log
BMT184PRE	11132730	00:17:34	34.03 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT184PRE.11132730.log
BMT185D0	11132734	00:23:33	35.97 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT185D0.11132734.log
BMT185PRE	11132738	00:16:37	31.94 GB	COMPLETED	UNC_short/0.2_deduplication/logs/BMT185PRE.11132738.log
