SampleID	JobID	WallTime	MemUsed	State	Log
BMT133D-6	11165645	00:32:07	3.55 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT133D-6.11165645.log
BMT134D15	11165657	01:09:24	3.25 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT134D15.11165657.log
BMT134D186	11165750	00:55:30	4.87 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT134D186.11165750.log
BMT134D2	11165660	00:34:12	2.88 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT134D2.11165660.log
BMT134D8	11165663	01:02:01	5.56 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT134D8.11165663.log
BMT134pre	11165666	01:02:11	5.88 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT134pre.11165666.log
BMT138D5	11165669	00:50:42	3.52 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT138D5.11165669.log
BMT138pre	11165672	01:25:14	7.51 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT138pre.11165672.log
BMT140D13	11165675	00:22:28	2.76 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT140D13.11165675.log
BMT140D14	11165678	01:08:02	6.56 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT140D14.11165678.log
BMT140D62	11165681	00:55:04	4.42 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT140D62.11165681.log
BMT140D75	11165684	01:17:22	7.00 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT140D75.11165684.log
BMT140D87	11165753	01:33:56	7.25 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT140D87.11165753.log
BMT140pre	11165687	01:22:44	5.59 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT140pre.11165687.log
BMT141D14	11165756	01:18:32	5.13 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT141D14.11165756.log
BMT141D163	11165759	01:19:40	3.77 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT141D163.11165759.log
BMT141pre	11165690	00:54:04	4.74 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT141pre.11165690.log
BMT142D1	11165762	00:47:50	3.04 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT142D1.11165762.log
BMT142D8	11165693	00:42:04	4.57 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT142D8.11165693.log
BMT142pre	11165696	00:57:02	5.46 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT142pre.11165696.log
BMT144D207	11165765	00:49:38	3.45 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT144D207.11165765.log
BMT144PRE	11165768	01:07:28	7.36 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT144PRE.11165768.log
BMT146D142	11165771	01:30:40	3.51 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT146D142.11165771.log
BMT146D2	11165699	00:33:44	3.55 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT146D2.11165699.log
BMT146D42	11165702	00:35:56	2.90 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT146D42.11165702.log
BMT146D52	11165705	00:09:42	2.24 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT146D52.11165705.log
BMT146D57	11165774	01:00:51	3.74 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT146D57.11165774.log
BMT146D69	11165777	01:22:27	5.60 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT146D69.11165777.log
BMT146pre	11165708	00:32:56	3.28 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT146pre.11165708.log
BMT148D67	11165780	00:54:11	6.14 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT148D67.11165780.log
BMT148PRE	11165783	01:54:13	6.88 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT148PRE.11165783.log
BMT149D12	11165711	00:34:17	2.13 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT149D12.11165711.log
BMT149D17	11165715	00:21:17	3.81 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT149D17.11165715.log
BMT149D24	11165719	00:41:28	2.70 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT149D24.11165719.log
BMT149D28	11165786	01:13:40	6.14 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT149D28.11165786.log
BMT149pre	11165723	00:47:23	3.92 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT149pre.11165723.log
BMT151D1	11165726	00:37:06	1.93 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT151D1.11165726.log
BMT151D114	11165789	01:14:01	5.38 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT151D114.11165789.log
BMT151D15	11165792	00:28:29	2.63 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT151D15.11165792.log
BMT151D43	11165795	00:53:53	4.64 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT151D43.11165795.log
BMT151pre	11165729	00:30:25	3.66 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT151pre.11165729.log
BMT152PRE	11165732	00:26:51	2.93 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT152PRE.11165732.log
BMT153D1	11165804	01:09:30	5.44 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT153D1.11165804.log
BMT153D142	11165798	01:28:33	4.27 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT153D142.11165798.log
BMT153D183	11165801	00:45:57	5.12 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT153D183.11165801.log
BMT153D73	11165807	00:50:19	3.03 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT153D73.11165807.log
BMT153D99	11165810	01:04:57	3.79 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT153D99.11165810.log
BMT153pre	11165735	01:09:18	4.60 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT153pre.11165735.log
BMT164D183	11165813	01:19:57	6.44 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT164D183.11165813.log
BMT164D26	11165816	01:02:26	3.88 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT164D26.11165816.log
BMT164D7	11165819	00:56:47	4.21 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT164D7.11165819.log
BMT164D9	11165822	01:03:42	4.06 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT164D9.11165822.log
BMT165D1	11165825	01:06:29	5.13 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT165D1.11165825.log
BMT165D22	11165828	00:45:57	5.20 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT165D22.11165828.log
BMT165D29	11165831	01:13:53	5.61 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT165D29.11165831.log
BMT165D8	11165834	00:44:16	5.29 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT165D8.11165834.log
BMT165PRE	11165837	01:19:05	3.04 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT165PRE.11165837.log
BMT166D5	11165840	02:17:17	10.09 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT166D5.11165840.log
BMT166PRE	11165843	01:11:26	5.94 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT166PRE.11165843.log
BMT168D11	11165846	00:52:33	2.70 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT168D11.11165846.log
BMT168D18	11165849	00:34:26	4.26 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT168D18.11165849.log
BMT168PRE	11165852	01:02:57	2.19 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT168PRE.11165852.log
BMT169D7	11165855	01:01:40	2.74 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT169D7.11165855.log
BMT169PRE	11165858	00:53:00	2.19 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT169PRE.11165858.log
BMT170D135	11165861	01:11:43	6.12 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT170D135.11165861.log
BMT170D2	11165867	00:54:13	4.80 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT170D2.11165867.log
BMT170D27	11165864	00:29:24	3.67 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT170D27.11165864.log
BMT170D55	11165870	00:35:12	4.33 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT170D55.11165870.log
BMT170PRE	11165873	00:39:44	2.56 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT170PRE.11165873.log
BMT171D0	11165876	00:58:32	5.11 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT171D0.11165876.log
BMT171D23	11165879	01:07:52	3.51 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT171D23.11165879.log
BMT171PRE	11165882	01:49:33	7.58 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT171PRE.11165882.log
BMT173D2	11165885	01:22:11	4.98 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT173D2.11165885.log
BMT173D37	11165888	01:22:38	6.07 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT173D37.11165888.log
BMT173D69	11165891	01:30:32	6.89 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT173D69.11165891.log
BMT173PRE	11165894	00:44:19	5.25 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT173PRE.11165894.log
BMT174D61	11165897	00:44:20	5.00 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT174D61.11165897.log
BMT174D7	11165900	00:47:27	5.25 GB	COMPLETED	UNC_short/5.3_shortbred/logs/BMT174D7.11165900.log
