SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Cyanobacteriota	Firmicutes	Fusobacteriota	Lentisphaerota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
BMT124D0	338992	8367216	5032	109813	0	0	0	13303596	0	0	396654	0	1117232	0	6319627	0
BMT124D17	513756	2492794	0	0	0	0	0	17096002	0	0	0	0	352030	0	4967718	0
BMT124D7	805596	722116	0	0	0	0	0	23173466	0	0	19410	0	23472	11921	6288960	0
BMT125D-14	1475622	4315801	0	0	0	0	0	15427023	0	0	669804	0	134100	8767	3599509	0
BMT125D0	2699343	1443940	0	0	0	0	0	23902207	0	0	72006	0	72091	0	4918506	0
BMT125D21	4041280	2192673	0	0	0	0	0	44886002	0	0	0	0	698925	0	12364228	0
BMT125D7	1010250	5004658	0	0	4427	0	0	11299319	0	0	0	0	232304	0	3112502	0
BMT126D-12	7553051	4430625	0	0	11384	0	0	106673148	0	0	1734019	0	0	25771	25476344	0
BMT126d1	4764738	1695149	0	0	0	0	0	19027767	0	0	299050	0	0	0	4978780	0
BMT126D2	12438742	7475275	0	0	10463	0	0	47208987	0	0	3649074	0	0	17964	19292768	16249
BMT126D21	2777837	10394844	0	0	2749	0	0	30576003	0	0	0	0	0	0	9755790	0
BMT126D8	1429722	8637536	0	0	2590	0	0	15230913	0	0	255239	0	0	11649	5930616	8430
BMT127D-13	6348535	19736350	0	0	0	0	0	26601092	0	0	1115497	0	262195	20199	5686139	1803537
BMT127D1	32660	7433135	0	0	0	0	0	7124976	0	0	5446314	0	95681	0	5986565	1196082
BMT127D21	2378444	181655	0	0	0	0	0	46996430	32524	0	74406	0	0	9522	10689305	3259834
BMT127D6	595652	23608330	25439	0	18523	0	0	5731640	0	0	0	0	0	0	5855142	16129377
BMT128D-14	2901867	16116828	0	0	0	0	0	36272928	0	0	286342	0	441183	0	8613609	5416738
BMT129D-6	961469	13135327	0	0	0	0	0	22775287	0	0	26845	0	225126	0	11394278	36183
BMT129D0	1252615	16641469	0	0	0	0	0	34504417	0	0	38884	0	283521	0	16663003	55721
BMT129D15	1310353	10919259	0	0	0	0	0	17835434	0	0	158924	0	283461	0	9971295	10652
BMT129D23	445988	11521732	0	0	0	0	0	10972820	0	0	105880	0	237774	0	9782351	20094
BMT129D28	1634275	3907768	0	0	0	0	0	19402993	0	0	7402	0	115365	0	7655794	0
BMT130D-4	1254777	12582041	0	0	0	0	0	11825964	0	0	73205	11296	38674	11050	6341234	0
BMT130D0	1923835	12656837	0	0	0	0	0	33248987	0	0	63620	0	190886	22898	9225197	0
BMT130D20	986406	2319545	0	0	0	0	0	22900459	0	0	0	0	0	14214	4886699	0
BMT130D25	2492475	1451929	0	0	0	0	0	36784840	0	0	0	0	0	15071	6754060	0
BMT130D7	818960	17486600	7006	0	23119	0	0	19021634	25411	0	0	0	0	0	5972092	0
BMT131D-6	381849	18969948	0	225472	0	0	0	6961413	0	0	32644	516063	840840	0	4517269	952597
BMT131D0	1514291	19190513	0	176810	0	0	0	25654256	0	0	258389	2025648	1306446	0	11379300	1930345
