SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D20117D20	322706	51022313	0	0	0	0	957704	12404	0	16359	0	0	0	2442913	0
D20117D267	3918489	12418951	56995	0	0	0	32146616	0	0	848769	0	99625	0	4857338	9520055
D20117D29	733385	317542	0	0	0	0	38524529	0	0	29535368	0	0	0	8095787	23274
D20117D357	13134991	4409166	159155	0	0	0	33031172	0	0	339690	0	63310	0	4939373	5750256
D20117D4	34123	36804665	0	0	0	0	831915	0	0	30592	0	0	0	2059373	17075
D20117D44	1179857	1813801	13057	0	0	0	45665480	115607	0	16671	0	0	0	3464924	12061
D20117D537	5162997	3470945	0	0	0	0	30406096	0	0	398438	0	0	0	4637575	0
D20117D743	5382898	15050453	0	0	0	0	35483596	0	0	560998	0	105887	0	7141795	0
D20117D76	2534510	9544885	134018	0	0	0	24382916	0	0	140489	0	0	0	4413242	6401430
D20117PRE	4644815	16429872	0	0	0	0	27524888	0	0	10566	0	0	0	6463479	19810683
D20215D0	520289	0	0	0	0	0	35041492	0	0	0	0	0	0	2618591	14542
D20215D16	4364817	79977	0	0	3203	0	46432980	0	0	19611	0	0	0	6973465	11770
D20215D177	597988	39351283	0	0	0	0	37834433	0	0	900591	0	0	0	5957787	10659
D20215D22	10611230	143547	0	0	0	0	19846815	0	0	134501	0	0	0	2775877	0
D20215D28	962779	27933570	0	0	0	0	10894076	0	8529	17273	0	0	0	795220	12343
D20215D37	778504	154653	0	0	0	0	39193836	0	0	337766	0	0	0	5156653	9676
D20215D70	3867989	9029272	16396	0	0	0	25505220	0	0	36457	0	0	0	5893102	10182
D20215D91	1824434	13077457	0	0	0	0	27951229	0	0	74397	0	0	0	8144484	13746
D20215PRE	2659224	9450975	0	0	0	0	40172479	0	0	177165	0	139258	0	8457806	19905
D20231D1	1712745	18056601	0	0	11993	0	16167343	0	0	0	0	0	0	12111079	11416
D20231D14	1535877	1014152	0	0	14734	0	34537755	0	9082	142667	0	0	0	5612331	11032
D20231D188	3254527	3485436	17120	0	2034	0	26559175	0	0	28898	0	0	0	4664065	9094116
D20231D21	148251	16217673	0	0	0	0	21750775	0	0	0	0	0	0	6627648	12633
D20231D29	1891220	110473	9083	0	0	0	36365304	0	5180	2162598	0	0	0	10596183	12965
D20231D69	4598564	1459516	9639	0	0	0	22717240	0	0	0	0	0	0	4945359	18759209
D20231D90	4376056	1133887	28113	0	2247	0	22521260	0	0	19202	0	0	0	6401544	15385625
D20231PRE	2055927	8754133	0	0	2727	0	30875030	0	0	146882	0	291857	14991	7750739	0
D20236D0	107037	1780113	0	0	2719	0	14464442	0	0	16432	0	0	0	3821231	12853
D20236D14	35111	39511	0	0	0	0	36182396	0	0	0	0	0	0	7878951	12941
D20236D169	3205015	0	0	0	0	0	8369136	0	0	16870	0	0	0	1238032	13522
D20236D27	26396	89467	0	0	0	0	53053847	0	0	18635	0	0	0	-3208183	21724
