SampleID	Actinomycetota	Bacteroidota	Campylobacterota	Candidatus_Melainabacteria	Candidatus_Saccharibacteria	Chloroflexota	Firmicutes	Fusobacteriota	Mycoplasmatota	Pseudomonadota	Synergistota	Thermodesulfobacteriota	Unclassified	UNCLASSIFIED	Verrucomicrobiota
D20215D91	4.94371660984638	20.5924406650168	0	0	0	0	58.4384596113763	0	0	0.0642617510584703	0	0	0	15.94277	0.0183496929444919
D20215PRE	6.46761657833745	9.27547125115633	0	0	0	0	70.0977742638296	0	0	0.121664110879265	0	0.187208690653337	0	13.84782	0.0024381067397558
D20231D14	2.99283485765025	0.966309239576908	0	0	0.0317572129210499	0	82.7835276083328	0	0.0273855987723668	0.105761774503628	0	0	0	13.08918	0.003233082432028
D20231D188	8.55791268652316	4.00188495747162	0.0443015089727241	0	0.0029732556357532	0	54.8920923795628	0	0	0.007532247610575	0	0	0	9.90134	22.5919585931112
D20231D1	3.67559756491879	21.4093266728701	0	0	0.0572190669685495	0	49.6546449744328	0	0	0	0	0	0	25.19406	0.0091562476100803
D20231D21	0.396176519355864	29.1469256426372	0	0	0	0	55.6286645658979	0	0	0	0	0	0	14.80808	0.020147889821878
D20231D29	6.75561644073703	0.0336724741613425	0.008903741107414	0	0	0	69.3580025231948	0	0.0004519263073219	3.11682474215592	0	0	0	20.71468	0.0118531549025681
D20231D69	8.77725423356625	1.486907661861	0.0117027278710284	0	0	0	40.0268075290585	0	0	0	0	0	0	9.42161	40.2757169422906
D20231D90	10.0130943005219	1.18362131538475	0.0701313541363073	0	0.0060578288745629	0	40.6872028029395	0	0	0.0026410390632986	0	0	0	12.83699	35.2002654647754
D20231PRE	5.72132499118601	13.1879852077008	0	0	0.0012585293251545	0	64.5481953210162	0	0	0.348519711506905	0	0.627136143181733	0.0306439220916836	15.53494	0
D20236D0	0.562496115865778	6.1817243858569	0	0	0.0107846420461803	0	74.2943124831784	0	0	0.0091628913625442	0	0	0	18.91247	0.0290536634973415
D20236D14	0.0165211072139719	0.002251011127115	0	0	0	0	82.1273194358841	0	0	0	0	0	0	17.84631	0.0075910010272054
D20236D169	35.0183981768937	0	0	0	0	0	55.2856808066233	0	0	0.0026746542091441	0	0	0	9.64006	0.0531948963825401
D20236D27	0.00703	0.02176	0	0	0	0	99.96477	0	0	0.00332	0	0	0	0	0.00311
D20236D34	0.06381	0.06146	0	0	0	0	99.82346	0	0.00683	0.02622	0	0	0	0	0.01822
D20236D43	0.173436295177658	0.0708316418723653	0	0	0	0	68.5814667356335	0	0	0.0082496895744792	0	0	0	31.13782	0.0282059503314416
D20236D56	0.436732911623991	0.0084719232761708	0	0	0	0	74.7402626790189	0	0	0.0452563219415344	0	0	0	24.76089	0.0083741124390569
D20236D68	0.449074924266897	0.0283328756752969	0	0	0	0	76.5320413974504	0	0.0003234522365758	0.0002618422867518	0	0	0	22.98756	0.0023873855556787
D20236D8	0.462810590867408	46.4848529072276	0	0	0.133270301878388	0	43.2231763004423	0	7.22577034921792e-05	0	0	0	0	9.67787	0.01794700710487
D20236D99	0.0882471760240571	0.0202807546485105	0	0	0	0	69.8733721677074	0	0	0	0	0	0	30.0181	0
D20236PRE	4.62610393620533	19.817270796749	0	0	0	0	58.2953944313846	0	0	0.354546980230625	0	0	0.0015788296867325	16.9037	0.0014126370881291
D20248D14	0.175299371931295	82.5849462695603	0	0	0	0	14.4278856915335	0	0	0.0006317269598899	0	0	0	2.81124	0
D20248D194	12.5551943049268	3.47947751261617	0.0088364422284025	0	0	0	71.7453411149356	0.0092260248516988	0	0.723738264278178	0	0	0	11.45849	0.0196916307775222
D20248D1	0.502446033966863	0.1111577013645	0	0	0	0	96.6083036702695	0	0	0	0	0	0	2.76618	0.0119208661540305
